host_index,hostname,seed,gpu,arm,endpoint_seconds_median,ready_arrays_to_consumer_seconds_median,correction_seconds_median,audit_seconds_median,release_verifier_seconds_median,logical_mask_seconds_median,compaction_seconds_median,synchronization_seconds_median,consumer_seconds_median,unclassified_overhead_seconds_median,gpu_energy_joules_median,peak_memory_allocated_bytes_median,peak_memory_reserved_bytes_median,physical_candidate_slots_median,logical_live_candidate_slots_median,frozen_but_computed_slots_median,audit_events_median,screen_pass_candidate_count_median,release_verifier_candidate_count_median,release_verified_candidate_count_median,compaction_events_median,logical_mask_applications_median
0,t-20260823121700-5rtng-worker-0,1884470933,0,official,45.089288372546434,45.089288372546434,,,,,,,1.8559952601790428,,12390.886,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,1884470933,0,w1,3.53421550989151,3.53421550989151,1.381340027809143,0.5129878520965576,0.10464441031217575,0.0,0.0,0.0002889297902584076,1.8574558608233929,0.0,803.076,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,0,fw,3.8902325816452503,3.8902325816452503,1.705746654510498,0.6382811963558197,0.10462339594960213,0.0,0.0,4.407763481140137e-05,1.8582964949309826,0.0,988.719,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,0,lm,3.888550531119108,3.888550531119108,1.7055466804504396,0.6380314007401466,0.10501780360937119,0.00030432000011205675,0.0,3.7692487239837646e-05,1.8570553474128246,0.0,967.006,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,1884470933,0,pc,3.1778970174491405,3.1778970174491405,1.0710531902313232,0.40032127499580383,0.10494517534971237,0.0,0.0037359679341316225,4.4655054807662964e-05,1.8564766384661198,0.0,748.001,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,1,official,45.081153232604265,45.081153232604265,,,,,,,1.854427944868803,,11418.273,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,1884470933,1,w1,3.530634507536888,3.530634507536888,1.3799379501342774,0.5123183764517307,0.10449230670928955,0.0,0.0,0.0002874210476875305,1.8560047335922718,0.0,729.813,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,1,fw,3.9022981263697147,3.9022981263697147,1.7175239219665528,0.6432509906589985,0.10434680804610252,0.0,0.0,4.9591064453125e-05,1.8566940426826477,0.0,892.826,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,1,lm,3.8933120891451836,3.8933120891451836,1.711614040374756,0.6405566930770874,0.1046498715877533,0.00030304000061005354,0.0,3.3192336559295654e-05,1.855174157768488,0.0,886.128,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,1884470933,1,pc,3.181785508990288,3.181785508990288,1.0751687345504761,0.40225785970687866,0.10466262698173523,0.0,0.0036247360110282898,3.532692790031433e-05,1.8566888980567455,0.0,689.514,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
