host_index,hostname,seed,gpu,repeat,consumer_total_variation,physical_slots_lm,physical_slots_pc,logical_slots,frozen_but_computed_slots_lm
0,t-20260823121700-5rtng-worker-0,1884470933,0,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,0,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,0,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,1,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,1,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,1,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,2,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,2,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,2,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,3,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,3,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,1884470933,3,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,0,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,0,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,0,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,1,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,1,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,1,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,2,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,2,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,2,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,3,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,3,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,55048408,3,2,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,979986572,0,0,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,979986572,0,1,0.0,256,156,156,100
0,t-20260823121700-5rtng-worker-0,979986572,0,2,0.0,256,156,156,100
